date,item,qty_sold
2026-06-15,Bindi Okra,15.8
2026-06-15,Green Chilli,8.1
2026-06-15,Coriander,7.0
2026-06-15,Mint,6.0
2026-06-15,Lauki,5.8
2026-06-15,Drum Sticks,5.4
2026-06-15,Tindoora,8.2
2026-06-15,Arbi,5.7
2026-06-15,Small Onion,21.9
2026-06-15,Amla,3.4
2026-06-15,Brinjal Purple,10.4
2026-06-15,Brinjal Green,9.1
2026-06-15,Gwar,5.1
2026-06-15,Karela,7.2
2026-06-15,Paneer,7.6
2026-06-15,Papdi,3.4
2026-06-15,Methi Leaves,7.5
2026-06-15,Toria,6.6
2026-06-15,Parwal,6.9
2026-06-15,Ashgourd,5.0
2026-06-15,Vellarikai,6.8
2026-06-15,Puja Coconut,10.5
2026-06-15,Ginger,13.4
2026-06-15,Garlic,17.5
2026-06-15,Green Banana,12.0
2026-06-15,Green Mango,4.7
2026-06-15,Matoki,4.4
2026-06-15,Pan Leaves,3.2
2026-06-15,Suran,5.4
2026-06-15,Long Beans,6.5
2026-06-15,Guava,12.5
2026-06-15,Chikoo,7.4
2026-06-15,Custard Apple,2.7
2026-06-15,Alphonso Mango,5.1
2026-06-15,Kesar Mango,5.6
2026-06-15,Banganpally Mango,7.2
2026-06-16,Bindi Okra,14.7
2026-06-16,Green Chilli,8.5
2026-06-16,Coriander,5.0
2026-06-16,Mint,6.0
2026-06-16,Lauki,10.2
2026-06-16,Drum Sticks,7.7
2026-06-16,Tindoora,7.0
2026-06-16,Arbi,6.3
2026-06-16,Small Onion,22.5
2026-06-16,Amla,4.2
2026-06-16,Brinjal Purple,10.4
2026-06-16,Brinjal Green,8.3
2026-06-16,Gwar,5.6
2026-06-16,Karela,6.1
2026-06-16,Paneer,7.4
2026-06-16,Papdi,4.5
2026-06-16,Methi Leaves,5.2
2026-06-16,Toria,7.5
2026-06-16,Parwal,5.5
2026-06-16,Ashgourd,4.4
2026-06-16,Vellarikai,6.7
2026-06-16,Puja Coconut,15.2
2026-06-16,Ginger,9.3
2026-06-16,Garlic,21.1
2026-06-16,Green Banana,9.1
2026-06-16,Green Mango,4.7
2026-06-16,Matoki,4.1
2026-06-16,Pan Leaves,3.3
2026-06-16,Suran,5.6
2026-06-16,Long Beans,6.9
2026-06-16,Guava,8.4
2026-06-16,Chikoo,7.3
2026-06-16,Custard Apple,3.5
2026-06-16,Alphonso Mango,5.8
2026-06-16,Kesar Mango,3.9
2026-06-16,Banganpally Mango,4.8
2026-06-17,Bindi Okra,12.5
2026-06-17,Green Chilli,10.9
2026-06-17,Coriander,6.0
2026-06-17,Mint,6.0
2026-06-17,Lauki,8.3
2026-06-17,Drum Sticks,7.2
2026-06-17,Tindoora,8.9
2026-06-17,Arbi,5.7
2026-06-17,Small Onion,23.8
2026-06-17,Amla,3.5
2026-06-17,Brinjal Purple,8.4
2026-06-17,Brinjal Green,7.5
2026-06-17,Gwar,3.9
2026-06-17,Karela,6.5
2026-06-17,Paneer,6.4
2026-06-17,Papdi,4.0
